id;nombre;apellido;identificacion
1;unimpressively desk guide;less outdo that;bidet summary
2;versus;gee well;polarisation
3;snoop submitter wobbly;quash eek off;willfully while boom
4;times;bleakly huzzah;smog crazy esteemed
5;alongside viability towards;unless transcend;seemingly function stall
6;general even;yowza between;or
7;usefully ascribe incidentally;recompense address incidentally;dereference homely urgently
8;gladly;for;drat
9;beside along;lest duh gray;pear even advancement
10;trusty;fearless lest opposite;brr vice
